250 SH genome assemblies	500 SH genome assemblies	750 SH genome assemblies	1000 SH genome assemblies
	SRR6231039	SRR3664820	SRR2532784
	SRR6234181	SRR3664868	SRR2533348
	SRR6236981	SRR3664904	SRR2533362
	SRR6243393	SRR3664968	SRR2533442
	SRR6278411	SRR3665023	SRR2533446
	SRR6283583	SRR3665028	SRR2533457
	SRR6286463	SRR3665069	SRR2533481
	SRR6289885	SRR3665070	SRR2533483
	SRR6289905	SRR3665076	SRR2533485
	SRR6300831	SRR3665087	SRR2533486
	SRR6310072	SRR3665093	SRR2533553
	SRR6310075	SRR3665187	SRR2533554
	SRR6310665	SRR3665208	SRR2533579
	SRR6310666	SRR3682071	SRR2533580
	SRR6324198	SRR3685561	SRR2542452
	SRR6324280	SRR3765010	SRR2566902
	SRR6336380	SRR3932992	SRR2566914
	SRR6342678	SRR3933003	SRR2566915
	SRR6344915	SRR3933073	SRR2566929
	SRR6345354	SRR3933076	SRR2566944
	SRR6350768	SRR3933127	SRR2566994
	SRR6350800	SRR4044375	SRR2567064
	SRR6350817	SRR4044378	SRR2567093
	SRR6350850	SRR4044383	SRR2567110
	SRR6350855	SRR4044564	SRR2567136
	SRR6350875	SRR4044680	SRR2567137
	SRR6350918	SRR4273718	SRR2567175
	SRR6350963	SRR4292024	SRR2567179
	SRR6350971	SRR4292025	SRR2567190
	SRR6356464	SRR4292026	SRR2567212
	SRR6368624	SRR4292029	SRR2571592
	SRR6371564	SRR4295052	SRR2571695
	SRR6373534	SRR4295108	SRR2577469
	SRR6380785	SRR4295147	SRR2577471
	SRR6419002	SRR4297054	SRR2577472
	SRR6437534	SRR4341028	SRR2578274
	SRR6440105	SRR4418379	SRR2583943
	SRR6451856	SRR4420932	SRR2584318
	SRR6451864	SRR4420946	SRR2584384
	SRR6514392	SRR4421014	SRR2584388
	SRR6650724	SRR4429351	SRR2584389
	SRR6650755	SRR4449971	SRR2584391
	SRR6663460	SRR4454554	SRR2584394
	SRR6663476	SRR5016804	SRR2648192
	SRR6682143	SRR5016810	SRR2669157
	SRR6726342	SRR5016818	SRR2669161
	SRR6750506	SRR5053571	SRR2670601
	SRR6760433	SRR5054228	SRR2670696
	SRR6760455	SRR5054233	SRR2724060
	SRR6760765	SRR5055220	SRR2759138
	SRR6766070	SRR5055275	SRR2759139
	SRR6786499	SRR5055599	SRR2759141
	SRR6791509	SRR5055934	SRR2759142
	SRR949419	SRR5055986	SRR2759143
		SRR5081554	SRR2759145
		SRR5116948	SRR2759146
		SRR5125687	SRR2759149
		SRR5184239	SRR2759150
		SRR5188697	SRR2759152
		SRR5195884	SRR2910878
		SRR5217775	SRR2910992
		SRR5221413	SRR2911004
		SRR5221624	SRR2912643
		SRR5231232	SRR2912651
		SRR5231293	SRR2912652
		SRR5236376	SRR2912656
		SRR5236377	SRR2912658
		SRR5236381	SRR2954368
		SRR5236382	SRR2962358
		SRR5236383	SRR2962663
		SRR5236384	SRR2962664
		SRR5236385	SRR2962667
		SRR5236388	SRR2973819
		SRR5236389	SRR2973821
		SRR5236395	SRR2973822
		SRR5236398	SRR3028746
		SRR5236400	SRR3028747
		SRR5236406	SRR3028754
		SRR5236407	SRR3028755
		SRR5236408	SRR3028756
		SRR5237960	SRR3028757
		SRR5237961	SRR3028758
		SRR5237962	SRR3028759
		SRR5237963	SRR3028760
		SRR5237964	SRR3028761
		SRR5237966	SRR3028763
		SRR5237982	SRR3028764
		SRR5238036	SRR3028785
		SRR5238153	SRR3028786
		SRR5238181	SRR3028792
		SRR5238183	SRR3049393
		SRR5238457	SRR3057163
		SRR5239194	SRR3057166
		SRR5239196	SRR3057167
		SRR5239200	SRR3057168
		SRR5239201	SRR3057169
		SRR5239202	SRR3057170
		SRR5239205	SRR3057172
		SRR5239206	SRR3057201
		SRR5239212	SRR3057202
		SRR5239213	SRR3057203
		SRR5239215	SRR3057204
		SRR5239217	SRR3057205
		SRR5239221	SRR3057206
		SRR5239222	SRR3057207
		SRR5239225	SRR3091331
		SRR5239226	SRR3091410
		SRR5239227	SRR3091414
		SRR5239228	SRR3096088
		SRR5239230	SRR3096096
		SRR5239232	SRR3096105
		SRR5239233	SRR3096106
		SRR5241821	SRR3101786
		SRR5241822	SRR3110379
		SRR5241825	SRR3115192
		SRR5241827	SRR3116192
		SRR5241828	SRR3136890
		SRR5241829	SRR3137153
		SRR5241834	SRR3168644
		SRR5241838	SRR3173558
		SRR5241839	SRR3173562
		SRR5241847	SRR3191437
		SRR5241848	SRR3194566
		SRR5277178	SRR3210442
		SRR5278779	SRR3219142
		SRR5297984	SRR3219161
		SRR5344853	SRR3219184
		SRR5361195	SRR3219185
		SRR5438432	SRR3223093
		SRR5460883	SRR3225368
		SRR5501034	SRR3271897
		SRR5508215	SRR3294537
		SRR5508275	SRR3295537
		SRR5508313	SRR3295791
		SRR5573051	SRR3295888
		SRR5576564	SRR3306204
