250 ST genome assemblies	500 ST genome assemblies	750 ST genome assemblies	1000 ST genome assemblies
	SRR7349288	SRR5823768	SRR4105054
	SRR7349357	SRR5854294	SRR4176675
	SRR7351369	SRR5864245	SRR4176737
	SRR7351437	SRR5864287	SRR4190207
	SRR7358928	SRR5864300	SRR4280607
	SRR7402040	SRR5864391	SRR4280641
	SRR7403444	SRR5864575	SRR4292005
	SRR7406154	SRR5864626	SRR4292980
	SRR7414495	SRR5865227	SRR4292986
	SRR7416130	SRR5865230	SRR4295067
	SRR7416190	SRR5868563	SRR4295074
	SRR7416266	SRR5876246	SRR4297066
	SRR7417222	SRR5876382	SRR4342900
	SRR7426913	SRR5879441	SRR4345496
	SRR7427058	SRR5888114	SRR4418351
	SRR7441788	SRR5890317	SRR4418354
	SRR7441946	SRR5896188	SRR4418394
	SRR7444134	SRR5908289	SRR4420898
	SRR7444139	SRR5921336	SRR4432465
	SRR7444265	SRR5924447	SRR4449966
	SRR7456728	SRR5929561	SRR4449968
	SRR7456736	SRR5929575	SRR4454560
	SRR7457957	SRR5934141	SRR4733949
	SRR7458723	SRR5935603	SRR4841694
	SRR7466529	SRR5944104	SRR4841916
	SRR7468570	SRR5945432	SRR5004553
	SRR7471107	SRR5947659	SRR5016931
	SRR7472849	SRR5947745	SRR5017141
	SRR7472861	SRR5955274	SRR5023234
	SRR7475286	SRR5991660	SRR5023281
	SRR7475303	SRR5993079	SRR5023311
	SRR7495586	SRR6000376	SRR5038646
	SRR7501649	SRR6014156	SRR5043452
	SRR7504456	SRR6014229	SRR5044084
	SRR7504675	SRR6014337	SRR5056643
	SRR7511748	SRR6025906	SRR5057297
	SRR7514737	SRR6038055	SRR5064882
	SRR7518626	SRR6050739	SRR5064898
	SRR7523711	SRR6050746	SRR5066084
	SRR7533326	SRR6051328	SRR5081488
	SRR7691943	SRR6062260	SRR5092331
	SRR7695397	SRR6062272	SRR5110566
	SRR7790298	SRR6062317	SRR5110573
	SRR7823338	SRR6062318	SRR5116924
		SRR6062347	SRR5125992
		SRR6062372	SRR5126031
		SRR6062403	SRR5151778
		SRR6062437	SRR5152053
		SRR6074499	SRR5152310
		SRR6074583	SRR5159788
		SRR6074608	SRR5182240
		SRR6074662	SRR5188630
		SRR6074695	SRR5188727
		SRR6074703	SRR5193325
		SRR6074713	SRR5193429
		SRR6074714	SRR5201339
		SRR6074724	SRR5201390
		SRR6077136	SRR5209721
		SRR6082069	SRR5215724
		SRR6107171	SRR5215734
		SRR6107636	SRR5217465
		SRR6110982	SRR5217472
		SRR6111002	SRR5217720
		SRR6111081	SRR5217723
		SRR6111116	SRR5217782
		SRR6111193	SRR5221447
		SRR6111204	SRR5221606
		SRR6111231	SRR5224172
		SRR6111233	SRR5229123
		SRR6111245	SRR5235669
		SRR6111314	SRR5238142
		SRR6111321	SRR5238193
		SRR6111336	SRR5240062
		SRR6114069	SRR5242683
		SRR6114088	SRR5249612
		SRR6114211	SRR5249621
		SRR6116912	SRR5249630
		SRR6116976	SRR5249679
		SRR6116988	SRR5251097
		SRR6117098	SRR5251584
		SRR6117110	SRR5262313
		SRR6117122	SRR5278649
		SRR6117176	SRR5289521
		SRR6117225	SRR5311486
		SRR6117252	SRR5336254
		SRR6117468	SRR5336304
		SRR6117502	SRR5342995
		SRR6117638	SRR5360685
		SRR6117643	SRR5360725
		SRR6117813	SRR5361563
		SRR6117824	SRR5366196
		SRR6125305	SRR5396353
		SRR6134269	SRR5409062
		SRR6155256	SRR5409208
		SRR6155494	SRR5440593
		SRR6165646	SRR5441496
		SRR6203382	SRR5451261
		SRR6203387	SRR5451284
		SRR6230997	SRR5459706
		SRR6236597	SRR546266
		SRR6238561	SRR5471243
		SRR6243663	SRR5483899
		SRR6243696	SRR5486165
		SRR6253560	SRR5486554
		SRR6254932	SRR5486743
		SRR6255041	SRR5501083
		SRR6278414	SRR5508184
		SRR6283576	SRR5565040
		SRR6289893	SRR5572372
		SRR6291102	SRR5572397
		SRR6294680	SRR5573084
		SRR6299393	SRR5576039
		SRR6310258	SRR5578796
		SRR6310656	SRR5583191
		SRR6311153	SRR5583959
		SRR6311916	SRR5583994
		SRR6321441	SRR5584053
		SRR6324181	SRR5584055
		SRR6324229	SRR5584728
		SRR6327163	SRR5584824
		SRR6327193	SRR5585158
		SRR6334772	SRR5585208
		SRR6344889	SRR5586366
		SRR6345583	SRR5586384
		SRR6350836	SRR5588609
		SRR6350879	SRR5588630
		SRR6353816	SRR5590062
		SRR6353831	SRR5590310
		SRR6353840	SRR5628610
		SRR6353844	SRR5628647
		SRR6353976	SRR5631283
		SRR6354011	SRR5631622
		SRR6354032	SRR5632186
		SRR6354064	SRR5632945
		SRR6359113	SRR5633379
		SRR6359116	SRR5633380
		SRR6359155	SRR5655471
		SRR6373427	SRR5659564
		SRR6373501	SRR5659618
		SRR6380783	SRR5664413
		SRR6386484	SRR5677859
